status: ok
time allie allke allae allvd allfd allwk
0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.000806400203146 4.8415174092e-09 2.33977170971e-09 0.0 6.1430079773e-12 0.0 7.18726145266e-09
0.00160196435172 2.82994307099e-07 3.73977684376e-08 0.0 1.82457021713e-10 0.0 3.2057386079e-07
0.00240418151952 3.17682633977e-06 1.89540983797e-07 0.0 1.3642054153e-09 0.0 3.36772950504e-06
0.00320639437996 1.76008798007e-05 5.89115757066e-07 0.0 5.66483038256e-09 0.0 1.81956529559e-05
0.00400191918015 6.55300100334e-05 1.40503777857e-06 0.0 1.68827103408e-08 0.0 6.69518994982e-05
0.00480412738398 0.000193136060261 2.85941882794e-06 0.0 4.13996055215e-08 0.0 0.000196036780835
0.00560633419082 0.00048038768 5.19649029229e-06 0.0 8.81264838881e-08 0.0 0.000485672004288
0.00640185410157 0.00104891438968 8.66423579282e-06 0.0 1.68279541413e-07 0.0 0.00105774612166
0.00720405532047 0.0020974338986 1.36113803819e-05 0.0 2.98599672988e-07 0.0 0.0021113420371
0.00800625234842 0.00389145105146 2.03380623134e-05 0.0 4.97769178764e-07 0.0 0.00391228264198
0.0088017610833 0.00676564406604 2.91044907499e-05 0.0 7.86050918578e-07 0.0 0.00679552555084
0.00960395485163 0.0112430183217 4.04142701882e-05 0.0 1.1953734429e-06 0.0 0.0112846121192
0.0104061486199 0.0179144944996 5.45579205209e-05 0.0 1.75526292878e-06 0.0 0.017970778048
0.0112016573548 0.0274466127157 7.17467628419e-05 0.0 2.49460708801e-06 0.0 0.027520801872
0.0120038511232 0.0409247837961 9.26713328226e-05 0.0 3.4660079109e-06 0.0 0.0410208329558
0.0128060448915 0.0594038441777 0.000117571325973 0.0 4.70909799333e-06 0.0 0.0595259852707
0.0136015536264 0.0839784815907 0.000146544713061 0.0 6.25903248874e-06 0.0 0.0841310620308
0.0144037473947 0.116611503065 0.000180493720109 0.0 8.19573870103e-06 0.0 0.116799853742
0.015205941163 0.158933520317 0.000219589986955 0.0 1.05665021692e-05 0.0 0.159163191915
0.0160014498979 0.212515994906 0.000263781461399 0.0 1.34086785692e-05 0.0 0.212792471051
0.0168036427349 0.280605882406 0.00031423085602 0.0 1.6837640942e-05 0.0 0.280935913324
0.0176058374345 0.365471571684 0.000370966416085 0.0 2.09042900678e-05 0.0 0.365861982107
0.0184013452381 0.469139844179 0.000433780078311 0.0 2.56426792475e-05 0.0 0.469597280025
0.0192035399377 0.596657335758 0.000504204130266 0.0 3.12134179694e-05 0.0 0.597190082073
0.0200057327747 0.75092113018 0.000582133128773 0.0 3.76656535082e-05 0.0 0.751537322998
0.0208012424409 0.934302270412 0.000667219923344 0.0 4.50234874734e-05 0.0 0.935009717941
0.0216034352779 1.1542879343 0.000761505099945 0.0 5.35045364813e-05 0.0 1.15509665012
