status: ok
time allke allie
0.0 0.0 0.0
0.0015029895585 1.0829338537e-09 4.20737777951e-10
0.00300601776689 2.09012185337e-08 1.37428397551e-08
0.00450209341943 1.11748953202e-07 1.38781160786e-07
0.0060047977604 3.48876568523e-07 7.50009633066e-07
0.00750076351687 8.2994870354e-07 2.7947730814e-06
0.00900354981422 1.68808639955e-06 8.22279980639e-06
0.0105063579977 3.10103996526e-06 2.04250300158e-05
0.0120024271309 5.16655109095e-06 4.46865924459e-05
0.0135052353144 8.07724063634e-06 8.92769530765e-05
0.0150013044477 1.20950180644e-05 0.000165081728483
0.0165041126311 1.73665303009e-05 0.000288145296508
0.0180001817644 2.4032606234e-05 0.000477378547657
0.0195029899478 3.23926396959e-05 0.000760149152484
0.0210057981312 4.2724161176e-05 0.00116783054546
0.0225018672645 5.51178200112e-05 0.0017366145039
0.0240046754479 6.97087452863e-05 0.00251853372902
0.0255007445812 8.69160721777e-05 0.00356175983325
0.0270035527647 0.000107017018308 0.00494055636227
0.0285063609481 0.000129915715661 0.00672609684989
0.0300024300814 0.000155847708811 0.00899300538003
0.0315052382648 0.000185312863323 0.0118588488549
0.0330013073981 0.000218313885853 0.0154064260423
0.0345041155815 0.000254843820585 0.0197894498706
0.0360001847148 0.000295076315524 0.0251026265323
0.0375029928982 0.000339873862686 0.0315421447158
0.0390058010817 0.000388535496313 0.0392491593957
0.0405018702149 0.00044116115896 0.0483563058078
0.0420046783984 0.000498481094837 0.059136621654
0.0435007475317 0.000560281157959 0.0716978386045
0.0450035557151 0.000626719149295 0.0863735750318
0.0465063638985 0.000697403622326 0.103347733617
0.0480024330318 0.000773102394305 0.122777767479
0.0495052412152 0.000853712961543 0.145103573799
0.0510013103485 0.0009383536526 0.170402690768
0.0525041185319 0.00102820317261 0.199196815491
0.0540001876652 0.00112265953794 0.231533586979
0.0555029958487 0.00122241047211 0.268025696278
0.0570058040321 0.00132602103986 0.30887183547
0.0585018731654 0.00143435364589 0.354205280542
0.0600046813488 0.00154805125203 0.404793769121
0.0615007504821 0.00166516681202 0.460552155972
0.0630032792687 0.00178705179133 0.522364258766
0.0645052567124 0.00191301747691 0.590383291245
0.0660004988313 0.00204249052331 0.664658665657
0.067502476275 0.00217422656715 0.74626159668
0.0690044537187 0.00231254869141 0.835281670094
0.0705064311624 0.00245512300171 0.932128846645
0.0720016732812 0.00260210968554 1.03672063351
0.0735036507249 0.00274743558839 1.1503995657
0.0750056281686 0.00289412471466 1.27311348915
0.0765008702874 0.00305365445092 1.40464758873
0.0780028477311 0.00320785725489 1.54658007622
0.0795048251748 0.00337233603932 1.69872653484
0.0810000672936 0.00352776353247 1.86072409153
0.0825020447373 0.00369458179921 2.03440499306
0.084004022181 0.00385928130709 2.21941542625
0.0855059996247 0.00401979498565 2.41609144211
0.0870012417436 0.00419019442052 2.62378740311
0.0885032191873 0.00435969885439 2.84467077255
0.090005196631 0.00452448381111 3.07811880112
0.0915004387498 0.00468868156895 3.32325601578
0.0930024161935 0.00486805848777 3.58252739906
0.0945043936372 0.00503949541599 3.85506033897
0.0960063710809 0.00518503645435 4.14101934433
0.0975016131997 0.00535358814523 4.43917274475
0.0990035906434 0.00554137025028 4.75232315063
0.100505568087 0.00572687620297 5.07926130295
0.102000810206 0.00584744568914 5.41848993301
0.10350278765 0.00599520187825 5.77308654785
0.105004765093 0.00617694901302 6.14157056808
0.106500007212 0.0063655320555 6.52218770981
0.108001984656 0.00649006152526 6.91833019257
0.1095039621 0.00662686442956 7.32823181152
0.111005939543 0.00680553121492 7.75178384781
0.112501181662 0.00697467010468 8.18686962128
0.114003159106 0.00709848944098 8.63725852966
0.115505136549 0.00719952397048 9.10082435608
0.117000378668 0.00735866697505 9.57518959045
0.118502356112 0.0075200330466 10.0643911362
0.120004333556 0.00764191523194 10.5660667419
0.121506310999 0.00773129472509 11.079955101
0.123001553118 0.00785300973803 11.6033821106
0.124503530562 0.00800768565387 12.1407566071
0.126005515456 0.00812583044171 12.6894292831
0.127500757575 0.00819678511471 13.2465457916
0.129002735019 0.00825589336455 13.8167695999
0.130504712462 0.00837079063058 14.3972530365
0.132006689906 0.00849448423833 14.9876127243
0.133501932025 0.00856887642294 15.5847558975
0.135003909469 0.00860609766096 16.1936683655
0.136505886912 0.00866148807108 16.8112850189
0.138001129031 0.00875719636679 17.4343719482
0.139503106475 0.00884726922959 18.0681228638
0.141005083919 0.00889042951167 18.7093353271
0.142500326037 0.00889478158206 19.3546600342
0.144002303481 0.00891032349318 20.0094985962
0.145504280925 0.00895480252802 20.6705303192
0.147006258368 0.00899397581816 21.3373355865
0.148501500487 0.00899161212146 22.0064544678
0.150003477931 0.00897402688861 22.6834754944
0.151505455375 0.00897215493023 23.364944458
0.153000697494 0.00899047683924 24.0473403931
0.154502674937 0.00900690816343 24.7363796234
0.156004652381 0.00898537412286 25.4285640717
0.157504752278 0.00887338351458 26.1222000122
0.15900157392 0.00863467436284 26.8168487549
0.160503610969 0.00861177220941 27.515958786
0.162000432611 0.00880479440093 28.2142620087
0.163502112031 0.00895430985838 28.9159088135
0.165003404021 0.00862835720181 29.6184482574
0.166500076652 0.00816993508488 30.3194046021
0.168001368642 0.00805142335594 31.0226402283
0.169500604272 0.0082043884322 31.7246818542
0.171002820134 0.0083984984085 32.4270820618
0.172501966357 0.00839795544744 33.1262931824
0.17400111258 0.0080588599667 33.8240242004
0.175500258803 0.00765121774748 34.5198631287
0.177003413439 0.0074973423034 35.2145996094
0.178502559662 0.00750425923616 35.9056472778
0.180001705885 0.00759647693485 36.5935630798
0.181500852108 0.0075023425743 37.2781295776
0.182999998331 0.00733047351241 37.95885849
0.184503152966 0.0070301531814 38.6371803284
0.18600229919 0.00676567107439 39.309261322
0.187501445413 0.00664290273562 39.9762649536
0.189000591636 0.0066985511221 40.6380844116
0.190500184894 0.00684465561062 41.2946395874
0.192002519965 0.00681676249951 41.9473419189
0.193501144648 0.00659672822803 42.5922317505
0.195003002882 0.00622788351029 43.2322044373
0.19650273025 0.00588787300512 43.8643798828
0.1980022192 0.00562055874616 44.4889831543
0.199503138661 0.00543059036136 45.1009292603
0.201002761722 0.00564998202026 45.7102508545
0.202500343323 0.00596149265766 46.3118286133
0.2040014714 0.00587501935661 46.9062919617
