status: ok
time allie allke allae allvd allfd allwk
0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.00100571406074 3.23250901602e-08 2.13592112885e-08 0.0 3.0238044707e-11 0.0 5.3712792436e-08
0.00200150976889 1.09079553567e-06 8.26160089673e-07 0.0 4.84185969096e-10 0.0 1.91742378775e-06
0.00300371344201 9.512206816e-06 5.55044289285e-06 0.0 2.87655987918e-09 0.0 1.50654886966e-05
0.00400572782382 5.02116272401e-05 1.69464765349e-05 0.0 1.14336486945e-08 0.0 6.71694433549e-05
0.00500096008182 0.000186025936273 3.96989817091e-05 0.0 3.38397221356e-08 0.0 0.000225758412853
0.00600283080712 0.000546184543055 8.3907500084e-05 0.0 8.25738908361e-08 0.0 0.00063017354114
0.00700469547883 0.00135521264747 0.00015367771266 0.0 1.75279794234e-07 0.0 0.00150906271301
0.0080065606162 0.00297424104065 0.000254526617937 0.0 3.35973879828e-07 0.0 0.00322909653187
0.0090017458424 0.00591421034187 0.000400264019845 0.0 5.93205641053e-07 0.0 0.00631505157799
0.0100036105141 0.0109667200595 0.000603182415944 0.0 9.88099486676e-07 0.0 0.0115708578378
0.0110054751858 0.0191432759166 0.000863194873091 0.0 1.56525402417e-06 0.0 0.0200079716742
0.0120006613433 0.0316880196333 0.0011927834712 0.0 2.37237281908e-06 0.0 0.0328830592334
0.013002526015 0.0504756718874 0.00161730940454 0.0 3.48201137967e-06 0.0 0.0520962588489
0.0140043906868 0.0775792226195 0.00213408586569 0.0 4.96091342939e-06 0.0 0.0797179341316
0.0150062553585 0.115621306002 0.00274689192884 0.0 6.88930640536e-06 0.0 0.118374548852
0.0160014405847 0.167356461287 0.00348474504426 0.0 9.33718729357e-06 0.0 0.170849695802
0.0170033052564 0.237201601267 0.00435921596363 0.0 1.24350472106e-05 0.0 0.241571977735
0.0180051699281 0.329248487949 0.00535716628656 0.0 1.62755386555e-05 0.0 0.334620058537
0.0190003551543 0.447684645653 0.00650796853006 0.0 2.09401805478e-05 0.0 0.454210847616
0.0200022216886 0.599898576736 0.00784307345748 0.0 2.66154602286e-05 0.0 0.607764482498
0.0210040863603 0.79182446003 0.00933081377298 0.0 3.3407475712e-05 0.0 0.801183402538
0.022005951032 1.0309445858 0.0110073368996 0.0 4.14589267166e-05 0.0 1.04198610783
0.0230011362582 1.32346498966 0.0128988409415 0.0 5.0853126595e-05 0.0 1.33640503883
0.02400300093 1.68257141113 0.0149884289131 0.0 6.18754565949e-05 0.0 1.69760894775
0.0250048656017 2.11677932739 0.0173063874245 0.0 7.4638024671e-05 0.0 2.13414359093
0.0260000508279 2.63358736038 0.0198983866721 0.0 8.92168027349e-05 0.0 2.65355372429
0.0270019154996 3.2521481514 0.0228173732758 0.0 0.000106002502434 0.0 3.27504491806
0.0280037801713 3.9825053215 0.0261981189251 0.0 0.000125133999973 0.0 4.00879621506
0.029005644843 4.83834505081 0.0307909846306 0.0 0.000146965612657 0.0 4.86924743652
0.0300008300692 5.82426118851 0.0399071499705 0.0 0.000172322790604 0.0 5.86432123184
0.0310026966035 6.94905853271 0.0724328756332 0.0 0.000206631491892 0.0 7.02180480957
0.0320045612752 8.12545490265 0.214757710695 0.0 0.000284607638605 0.0 8.34125423431
0.033006425947 9.3811044693 0.40314027667 0.0 0.00053678592667 0.0 9.78610897064
0.0340016111732 11.0615549088 0.239111885428 0.0 0.000868331990205 0.0 11.3021726608
0.0350034758449 12.7860860825 0.212525859475 0.0 0.00108244887087 0.0 13.0003938675
0.0360053405166 14.4918527603 0.407544761896 0.0 0.00151970121078 0.0 14.9029903412
0.0370005257428 16.3853721619 0.518079996109 0.0 0.00183034967631 0.0 16.9090480804
0.0380023904145 17.62433815 1.34981822968 0.0 0.00230908580124 0.0 18.9832763672
0.0390042550862 18.6259975433 2.31112623215 0.0 0.00315666664392 0.0 20.9510383606
0.0400061197579 19.7282676697 2.7763838768 0.0 0.00419103913009 0.0 22.5215435028
0.0410013049841 21.8882980347 1.79207825661 0.0 0.005286404863 0.0 23.6993484497
0.0420031696558 23.5139827728 1.16463983059 0.0 0.00584463728592 0.0 24.698759079
0.0430050343275 23.6504745483 2.20484304428 0.0 0.00659895362332 0.0 25.8751888275
0.0440002195537 25.1078891754 2.26610422134 0.0 0.0076686036773 0.0 27.3963623047
0.0450020842254 26.5276184082 2.46211481094 0.0 0.00827608443797 0.0 29.014289856
0.0460039488971 27.1288509369 3.35717606544 0.0 0.0090848589316 0.0 30.5124950409
0.0470058135688 28.8954257965 2.81263208389 0.0 0.0100617688149 0.0 31.7354221344
