status: ok
time allke allie
0.0 0.0 0.0
0.00150293286424 3.15087789193e-10 1.2012939532e-09
0.00300121330656 5.80375880688e-09 7.14975456617e-08
0.00450618378818 2.94024360414e-08 8.05759327704e-07
0.0060044657439 9.01744456883e-08 4.44071838501e-06
0.00750274769962 2.18000721475e-07 1.66454083228e-05
0.00900102965534 4.41038139343e-07 4.88763580506e-05
0.0105060003698 8.02384477083e-07 0.000121703065815
0.0120042823255 1.34372385219e-06 0.000266713119345
0.0135025642812 2.10096277442e-06 0.000531937694177
0.0150008462369 3.14145609082e-06 0.000984873971902
0.0165058169514 4.506681762e-06 0.00172103079967
0.0180040989071 6.24253789283e-06 0.00285425502807
0.0195023808628 8.42516510602e-06 0.00454021897167
0.0210006628186 1.10767732622e-05 0.00696987146512
0.022505633533 1.43063534779e-05 0.0103946449235
0.0240039154887 1.81214509212e-05 0.0150664439425
0.0255021974444 2.25781986956e-05 0.0213319640607
0.0270004794002 2.77791823464e-05 0.0295823458582
0.0285054501146 3.37409983331e-05 0.0403247363865
0.0300037320703 4.05167411373e-05 0.0539857260883
0.0315019451082 4.81699826196e-05 0.0711989104748
0.0330064967275 5.67420684092e-05 0.092737659812
0.0345043614507 6.62971651764e-05 0.119160741568
0.0360022261739 7.6809184975e-05 0.151385903358
0.0375000908971 8.83951870492e-05 0.190333262086
0.0390046425164 0.000101140605693 0.237242162228
0.0405025072396 0.000114902286441 0.292807430029
0.0420003719628 0.000129890962853 0.358426064253
0.0435049235821 0.000146067133755 0.435777664185
0.0450027883053 0.000163423363119 0.525593042374
0.0465006530285 0.000182013056474 0.629709839821
0.0480052046478 0.000201895571081 0.75033223629
0.049503069371 0.000223044815357 0.888136029243
0.0510009340942 0.000245372822974 1.04547548294
0.0525054857135 0.000269208685495 1.22516953945
0.0540033504367 0.000294637226034 1.42771327496
0.0555012151599 0.000322050909745 1.65594696999
0.0570057667792 0.000358780060196 1.91267907619
0.0585036315024 0.000387732405216 2.19579648972
0.0600014962256 0.000441295705969 2.5057528019
0.0615060478449 0.000505736912601 2.84418201447
0.0630041956902 0.000703527941369 3.20779490471
0.0645028948784 0.00136396312155 3.5975048542
0.0660015940666 0.00411492213607 4.01117706299
0.0675002932549 0.0145178288221 4.44063663483
0.0690056830645 0.0430649705231 4.86815929413
0.0705043822527 0.0679678469896 5.28965377808
0.0720030814409 0.0203688945621 5.75501298904
0.0735017806292 0.00447123823687 6.18422937393
0.0750004798174 0.00245860335417 6.6428232193
0.076505869627 0.0326491966844 7.1049785614
0.0780045688152 0.0405689626932 7.56519603729
0.0795032680035 0.00141059432644 8.04139995575
0.0810019671917 0.00146485853475 8.51460075378
0.0825006663799 0.0327484644949 8.99146842957
0.0840060561895 0.013846966438 9.4888792038
0.0855047553778 0.00361967855133 9.96811008453
0.087003454566 0.0134118907154 10.4718894958
0.0885021537542 0.0198098812252 10.9693088531
0.0900008529425 0.00284462771378 11.4693651199
0.0915062427521 0.00859517324716 11.9849662781
0.0930049419403 0.0154471620917 12.494550705
0.0945036411285 0.00320201041177 13.0062952042
0.0960023403168 0.00986940786242 13.5276021957
0.097501039505 0.00943291187286 14.0490207672
0.0990064293146 0.00308191613294 14.5720682144
0.100505128503 0.0120991449803 15.0989542007
0.102003827691 0.00432271370664 15.628993988
0.103502526879 0.00394914252684 16.1588878632
0.105001226068 0.0114524690434 16.6906414032
0.106506615877 0.00226435181685 17.2275981903
0.108005315065 0.00737296789885 17.7643222809
0.109504014254 0.00611189799383 18.3019542694
0.111002713442 0.00315511506051 18.8398933411
0.11250141263 0.00957772880793 19.3790664673
0.114000111818 0.00275580352172 19.9200057983
0.115505501628 0.0065586976707 20.4644069672
0.117004200816 0.00513480044901 21.0065860748
0.118502900004 0.00354538764805 21.5487880707
0.120001599193 0.0070179910399 22.0912647247
0.121500298381 0.00338777876459 22.6341209412
0.12300568819 0.00663175992668 23.1795845032
0.124504387379 0.00393318897113 23.7224998474
0.126003086567 0.00496500590816 24.2649707794
0.127501785755 0.0048405486159 24.8069820404
0.129000484943 0.00438504386693 25.3484668732
0.130505874753 0.00485849333927 25.8916282654
0.132004573941 0.00416441680863 26.4313812256
0.133503273129 0.00489936303347 26.9700317383
0.135001972318 0.00424791593105 27.507522583
0.136500671506 0.00515511725098 28.043844223
0.138006061316 0.00355974095874 28.5811061859
0.139504760504 0.00514811649919 29.1143817902
0.141003459692 0.00334370136261 29.6458816528
0.14250215888 0.00506514264271 30.175447464
0.144000858068 0.00370742240921 30.7030010223
0.145506247878 0.00443082489073 31.2307338715
0.147004947066 0.00388476718217 31.7538452148
0.148503646255 0.00402647722512 32.2744674683
0.150002345443 0.00385666824877 32.792427063
0.151501044631 0.00400421023369 33.3075675964
0.153006434441 0.00385155854747 33.8220901489
0.154505133629 0.00369816785678 34.3313026428
0.156003832817 0.00409273477271 34.8373336792
0.157502532005 0.00321142515168 35.3400115967
0.159001231194 0.00413895351812 35.8391723633
0.160506621003 0.0032603351865 36.3368835449
0.162005320191 0.00372609798796 36.8285484314
0.16350401938 0.00362323201261 37.3162651062
0.165002718568 0.00333221675828 37.7998924255
0.166501417756 0.00351092568599 38.2792854309
0.168000116944 0.00337098655291 38.7542648315
0.169505506754 0.00311474036425 39.226764679
0.171004205942 0.00354388309643 39.6924171448
0.17250290513 0.00295008253306 40.1532058716
0.174001604319 0.00331796286628 40.6090164185
0.175500303507 0.00306311505847 41.059677124
0.177005693316 0.00300767458975 41.5070343018
0.178504392505 0.00296329963021 41.9469718933
0.180003091693 0.00293526705354 42.3813667297
0.181501790881 0.00276725180447 42.8101196289
0.183000490069 0.00285100238398 43.233127594
0.184505879879 0.00274737877771 43.6521377563
0.186004579067 0.0026073299814 44.0633087158
0.187503278255 0.00269109499641 44.4684066772
0.189001977444 0.00252474518493 44.8673286438
0.190500676632 0.00250556971878 45.259967804
0.192006066442 0.00249348254874 45.6479492188
0.19350476563 0.00241557764821 46.0277366638
0.195003464818 0.00227981735952 46.4009552002
0.196502164006 0.00242165336385 46.7675247192
0.198000863194 0.00218483386561 47.1273345947
0.199506253004 0.00218127667904 47.4818229675
0.201004952192 0.00219551217742 47.8277359009
0.202503651381 0.00214394577779 48.1665534973
0.204002350569 0.00199506198987 48.4981880188
