status: ok
time allie allke allae allvd allfd allwk
0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0020015083719 1.73278476012e-08 1.31185942109e-08 0.0 7.70329112998e-12 0.0 3.04538936291e-08
0.00400570733473 8.09095695331e-07 2.75223982271e-07 0.0 1.84797940839e-10 0.0 1.08450365133e-06
0.00600273860618 8.93321521289e-06 1.39148664857e-06 0.0 1.35736788476e-09 0.0 1.0326055417e-05
0.00800632312894 4.93951120006e-05 4.31361968367e-06 0.0 5.61764146312e-09 0.0 5.37143314432e-05
0.0100032156333 0.000184959091712 1.04368982647e-05 0.0 1.68061866646e-08 0.0 0.000195412721951
0.0120001081377 0.000542790745385 2.10904381674e-05 0.0 4.10483167457e-08 0.0 0.000563921988942
0.0140036791563 0.00134982995223 3.85423045373e-05 0.0 8.73278906965e-08 0.0 0.00138845888432
0.016000572592 0.002957863966 6.43026505713e-05 0.0 1.67209691426e-07 0.0 0.00302233197726
0.0180041436106 0.00591166224331 0.000100985191239 0.0 2.96515509035e-07 0.0 0.00601293938234
0.0200010351837 0.0109424777329 0.000150951818796 0.0 4.93247171107e-07 0.0 0.0110939126462
0.0220046062022 0.0191062800586 0.000216320593609 0.0 7.8156182326e-07 0.0 0.0193233620375
0.024001499638 0.0316833034158 0.000300071929814 0.0 1.18627986012e-06 0.0 0.031984526664
0.0260050706565 0.0504687167704 0.000405261962442 0.0 1.7412617126e-06 0.0 0.050875660032
0.0280019622296 0.0774624720216 0.000533176062163 0.0 2.47805360232e-06 0.0 0.0779980197549
0.0300055332482 0.115457780659 0.000688976666424 0.0 3.44145382769e-06 0.0 0.116150029004
0.0320024266839 0.167332589626 0.000872797332704 0.0 4.66920346298e-06 0.0 0.168209791183
0.0340059958398 0.237166151404 0.00108996464405 0.0 6.21828985459e-06 0.0 0.238261923194
0.0360028892756 0.328847140074 0.00134164746851 0.0 8.13157203083e-06 0.0 0.330196321011
0.0380064621568 0.448056966066 0.00163105386309 0.0 1.04796199594e-05 0.0 0.449697613716
0.0400033518672 0.599789977074 0.00196256884374 0.0 1.33088678922e-05 0.0 0.60176461935
0.0420002453029 0.790959477425 0.00233555166051 0.0 1.66926965903e-05 0.0 0.793309986591
0.0440038181841 1.02985072136 0.00276004173793 0.0 2.07163720916e-05 0.0 1.03262913227
0.0460007078946 1.32317900658 0.00323495175689 0.0 2.54287297139e-05 0.0 1.32643616199
0.0480042807758 1.68217551708 0.00377791840583 0.0 3.09434144583e-05 0.0 1.68598020077
0.0500011742115 2.11459136009 0.00444106711075 0.0 3.73210496036e-05 0.0 2.11906456947
0.0520047433674 2.63412261009 0.00561827700585 0.0 4.4797638111e-05 0.0 2.63978099823
0.0540016368032 3.24531006813 0.0110504105687 0.0 5.44533977518e-05 0.0 3.25642776489
0.0560052096844 3.92628574371 0.0554476827383 0.0 7.90552512626e-05 0.0 3.98200917244
0.0580020993948 4.70947885513 0.0837568417192 0.0 0.000189342114027 0.0 4.79390192032
0.060005672276 5.62674713135 0.0733930617571 0.0 0.000267024559435 0.0 5.70090770721
0.0620025657117 6.77192878723 0.0178217217326 0.0 0.000370427937014 0.0 6.79088640213
0.0640061348677 7.91255187988 0.136842280626 0.0 0.000462034920929 0.0 8.05096912384
0.0660030245781 9.30151557922 0.103805147111 0.0 0.000571222568396 0.0 9.40714836121
0.0680065974593 10.7400379181 0.219456493855 0.0 0.000743195530958 0.0 10.9623069763
0.0700034946203 11.8078956604 0.766932368279 0.0 0.00101469573565 0.0 12.5798091888
0.0720003843307 12.5172290802 1.49399280548 0.0 0.00162769365124 0.0 14.0197114944
0.074003957212 13.778342247 1.27489161491 0.0 0.002211779356 0.0 15.0633487701
0.0760008469224 14.051325798 1.867623806 0.0 0.0028499357868 0.0 15.9304218292
0.0780039578676 15.5900745392 1.33503758907 0.0 0.0056732185185 0.00582753354684 16.9474811554
0.080001309514 17.4350013733 0.475025385618 0.0 0.00752567918971 0.0134091330692 17.9424629211
0.082001440227 18.4171619415 0.433514624834 0.0 0.00909078586847 0.0207833964378 18.8929042816
0.0840014442801 19.0711193085 0.775498569012 0.0 0.0105153154582 0.0207833964378 19.8913097382
0.0860014408827 20.4337234497 0.476459622383 0.0 0.0117597300559 0.0207833964378 20.9571094513
0.0880025550723 21.9760112762 0.199743226171 0.0 0.0144146997482 0.0226751938462 22.2283649445
