session,topology,N,density,strain_length,stress_area,eps_max,excluded,W_eps0.1,SEA_eps0.1,W_eps0.25,SEA_eps0.25,W_eps0.5,SEA_eps0.5
NS3_baseline,FBCCZ,5,0.267211,25,625,0.574732,False,0.215132,0.8051,0.712082,2.66486,1.77324,6.6361
NS4,FCC,1,0.147187,5,25,0.599918,False,0.253034,1.71913,0.668888,4.54447,1.24754,8.47588
NS4,FCC,2,0.147187,10,100,0.599852,False,0.174424,1.18505,0.526449,3.57674,1.24817,8.4802
NS3_baseline,FCC,2,0.146444,10,100,0.599225,False,0.169913,1.16026,0.497337,3.39609,1.17078,7.99472
NS2_orig6,FCC,2,0.146444,10,100,0.599225,False,0.169913,1.16026,0.497337,3.39609,1.17078,7.99472
NS4,FCC,3,0.147187,15,225,0.600616,False,0.165114,1.1218,0.491892,3.34195,1.13843,7.73455
NS3_baseline,FCC,3,0.146444,15,225,0.601205,False,0.159225,1.08728,0.462852,3.16061,1.07562,7.34493
NS2_orig6,FCC,3,0.146444,15,225,0.601205,False,0.159225,1.08728,0.462852,3.16061,1.07562,7.34493
NS4,FCC,4,0.147186,20,400,0.59909,False,0.158623,1.0777,0.473921,3.21988,1.13348,7.70098
NS3_baseline,FCC,4,0.146443,20,400,0.600335,False,0.152355,1.04037,0.449039,3.06631,1.08313,7.39625
NS2_orig6,FCC,4,0.146443,20,400,0.600335,False,0.152355,1.04037,0.449039,3.06631,1.08313,7.39625
NS4,FCC,5,0.147186,25,625,0.598624,False,0.155314,1.05522,0.475095,3.22786,1.12329,7.63178
NS3_baseline,FCC,5,0.146445,25,625,0.598884,False,0.149903,1.02362,0.455083,3.10754,1.08267,7.39303
NS2_orig6,FCC,5,0.146445,25,625,0.598884,False,0.149903,1.02362,0.455083,3.10754,1.08267,7.39303
NS4,FCCZ,1,0.166375,5,25,0.60002,True,0.361724,2.17415,0.991046,5.9567,1.90479,11.4488
NS4,FCCZ,2,0.166375,10,100,0.600634,True,0.307844,1.8503,0.919106,5.5243,1.95676,11.7611
NS3_baseline,FCCZ,2,0.165631,10,100,0.600379,True,0.300868,1.8165,0.882553,5.32843,1.86923,11.2855
NS2_orig6,FCCZ,2,0.165631,10,100,0.600379,True,0.300868,1.8165,0.882553,5.32843,1.86923,11.2855
NS4,FCCZ,3,0.166375,15,225,0.600907,True,0.30136,1.81132,0.860994,5.17501,1.75766,10.5644
NS3_baseline,FCCZ,3,0.165632,15,225,0.600221,True,0.303437,1.832,0.800772,4.83465,1.47836,8.92558
NS2_orig6,FCCZ,3,0.165632,15,225,0.328553,True,0.292149,1.76385,0.807431,4.87485,,
NS4,FCCZ,4,0.166375,20,400,0.60117,True,0.295801,1.77792,0.853701,5.1312,1.7923,10.7727
NS3_baseline,FCCZ,4,0.165632,20,400,0.60052,True,0.298209,1.80044,0.793344,4.78981,1.38232,8.34578
NS2_orig6,FCCZ,4,0.165632,20,400,0.455327,True,0.286735,1.73116,0.813421,4.91102,,
NS4,FCCZ,5,0.166375,25,625,0.599548,True,0.294091,1.76764,0.853875,5.13224,1.8385,11.0504
NS2_orig6,FCCZ,5,0.165632,25,625,0.523876,True,0.285896,1.72609,0.819861,4.9499,1.77705,10.7289
NS4,G7,1,0.221314,5,25,0.600238,True,0.205896,0.930335,0.698253,3.15504,1.46366,6.61349
NS3_baseline,G7,1,0.221314,5,25,0.600076,True,0.20082,0.907401,0.67707,3.05932,1.40133,6.33186
NS4,G7,2,0.221313,10,100,0.600249,True,0.157281,0.710672,0.516427,2.33347,1.24269,5.61505
NS3_baseline,G7,2,0.221313,10,100,0.600653,True,0.152487,0.689008,0.49363,2.23046,1.16824,5.27868
NS4,G7,3,0.221313,15,225,0.599673,True,0.147992,0.6687,0.495643,2.23956,1.15407,5.21464
NS3_baseline,G7,3,0.221313,15,225,0.598725,True,0.143257,0.647306,0.474016,2.14183,1.10118,4.97566
NS4,G7,4,0.221313,20,400,0.599165,True,0.144089,0.651066,0.483916,2.18657,1.11737,5.04885
NS3_baseline,G7,4,0.221313,20,400,0.600625,True,0.144149,0.651338,0.484063,2.18724,1.11908,5.05655
NS4,G7,5,0.221312,25,625,0.599684,True,0.142258,0.642794,0.47962,2.16716,1.0972,4.95772
NS3_baseline,G7,5,0.221312,25,625,0.600184,True,0.142271,0.642851,0.479195,2.16524,1.09807,4.96165
NS4,Iso_truss,1,0.307013,5,25,0.59998,False,0.483384,1.57447,1.56616,5.1013,3.87296,12.615
NS3_baseline,Iso_truss,1,0.307013,5,25,0.599934,False,0.483152,1.57372,1.56588,5.10038,3.87864,12.6335
NS4,Iso_truss,2,0.310681,10,100,0.59979,False,0.461116,1.48421,1.51443,4.87455,3.74384,12.0505
NS3_baseline,Iso_truss,2,0.307013,10,100,0.59964,False,0.455492,1.48362,1.47983,4.82007,3.68486,12.0023
NS4,Iso_truss,3,0.311903,15,225,0.494022,False,0.461659,1.48014,1.53989,4.9371,,
NS3_baseline,Iso_truss,3,0.311903,15,225,0.47267,False,0.460348,1.47594,1.54003,4.93752,,
NS4,Iso_truss,4,0.312513,20,400,0.481764,False,0.463027,1.48162,1.54863,4.9554,,
NS3_baseline,Iso_truss,4,0.307013,20,400,0.50966,False,0.45729,1.48948,1.51892,4.94742,3.73134,12.1537
NS4,Iso_truss,5,0.31288,25,625,0.531468,False,0.464107,1.48334,1.55685,4.97586,3.853,12.3146
NS3_baseline,Iso_truss,5,0.307013,25,625,0.454248,False,0.458559,1.49361,1.52875,4.97943,,
NS4,Kelvin,1,0.208456,5,25,0.599876,False,0.161803,0.776198,0.553744,2.6564,1.22846,5.89315
NS4,Kelvin,2,0.208456,10,100,0.600356,False,0.202713,0.972454,0.673755,3.23213,1.5098,7.2428
NS3_baseline,Kelvin,2,0.206646,10,100,0.599431,False,0.192299,0.930573,0.626734,3.03289,1.38377,6.69632
NS2_orig6,Kelvin,2,0.206646,10,100,0.599431,False,0.192299,0.930573,0.626734,3.03289,1.38377,6.69632
NS4,Kelvin,3,0.208455,15,225,0.599479,False,0.21739,1.04287,0.714875,3.4294,1.61428,7.74402
NS3_baseline,Kelvin,3,0.206649,15,225,0.600639,False,0.208953,1.01115,0.675353,3.26812,1.50107,7.26387
